纟	糹
钅	釒
饣	飠
讠	訁
于	於
腊	臘
腊	腊
尸	屍
扎	扎
扎	紮
巨	巨
巨	鉅
占	佔
托	托
托	託
吊	吊
吊	弔
众	眾
汹	洶
杯	杯
杯	盃
杰	傑
杰	杰
昆	昆
昆	崑
仑	侖
仑	崙
亘	亘
亘	亙
迹	跡
迹	迹
恒	恒
恒	恆
葱	葱
葱	蔥
喂	餵
闲	閒
闲	閑
采	採
奸	奸
奸	姦
异	異
却	卻
并	並
并	併
厂	廠
卜	卜
卜	蔔
儿	兒
几	幾
几	几
了	了
了	瞭
干	幹
干	乾
干	干
亏	虧
才	纔
才	才
与	與
万	萬
万	万
千	千
千	韆
亿	億
个	個
么	麽
广	廣
门	門
义	義
卫	衛
飞	飛
习	習
马	馬
乡	鄉
丰	豐
丰	丰
开	開
无	無
云	雲
云	云
专	專
艺	藝
厅	廳
区	區
历	歷
历	曆
车	車
贝	貝
冈	岡
见	見
气	氣
长	長
仆	僕
仆	仆
币	幣
仅	僅
从	從
仓	倉
风	風
乌	烏
凤	鳳
为	爲
斗	斗
斗	鬥
忆	憶
计	計
订	訂
认	認
讥	譏
丑	醜
丑	丑
队	隊
办	辦
邓	鄧
劝	勸
双	雙
书	書
击	擊
扑	撲
节	節
术	術
术	术
厉	厲
龙	龍
灭	滅
轧	軋
东	東
卢	盧
业	業
旧	舊
帅	帥
归	歸
叶	葉
叶	叶
电	電
号	號
只	隻
只	只
叽	嘰
叹	嘆
们	們
仪	儀
丛	叢
尔	爾
乐	樂
处	處
冬	冬
冬	鼕
鸟	鳥
务	務
饥	飢
饥	饑
冯	馮
闪	閃
兰	蘭
汇	匯
汇	彙
头	頭
汉	漢
宁	寧
讨	討
写	寫
让	讓
礼	禮
训	訓
议	議
讯	訊
记	記
出	出
出	齣
辽	遼
边	邊
发	髮
发	發
圣	聖
对	對
台	臺
台	檯
台	颱
台	台
纠	糾
丝	絲
动	動
巩	鞏
执	執
扩	擴
扫	掃
场	場
扬	揚
亚	亞
朴	樸
朴	朴
机	機
权	權
过	過
协	協
压	壓
厌	厭
页	頁
夸	誇
夸	夸
夺	奪
达	達
夹	夾
轨	軌
尧	堯
划	划
划	劃
迈	邁
毕	畢
贞	貞
师	師
尘	塵
当	當
当	噹
吁	籲
吁	吁
吓	嚇
虫	蟲
曲	曲
曲	麯
团	團
团	糰
吗	嗎
屿	嶼
岁	歲
回	回
回	迴
岂	豈
则	則
刚	剛
网	網
朱	朱
朱	硃
迁	遷
乔	喬
伟	偉
传	傳
优	優
伤	傷
价	價
伦	倫
华	華
伙	夥
伙	伙
伪	僞
向	向
向	嚮
后	後
后	后
会	會
杀	殺
合	合
合	閤
爷	爺
伞	傘
创	創
杂	雜
负	負
壮	壯
冲	衝
冲	沖
妆	妝
庄	莊
庆	慶
刘	劉
齐	齊
产	產
闭	閉
问	問
闯	闖
关	關
灯	燈
汤	湯
兴	興
讲	講
讳	諱
军	軍
讶	訝
许	許
讹	訛
论	論
讼	訟
农	農
讽	諷
设	設
访	訪
诀	訣
寻	尋
尽	儘
尽	盡
导	導
孙	孫
阵	陣
阳	陽
阶	階
阴	陰
妇	婦
妈	媽
戏	戲
观	觀
欢	歡
买	買
红	紅
驮	馱
纤	縴
纤	纖
驯	馴
约	約
级	級
纪	紀
驰	馳
纫	紉
寿	壽
麦	麥
玛	瑪
进	進
远	遠
违	違
韧	韌
运	運
抚	撫
坛	壇
坛	罎
坏	壞
抠	摳
扰	擾
贡	貢
坝	垻
坝	壩
折	折
折	摺
抡	掄
抢	搶
坟	墳
护	護
壳	殼
块	塊
声	聲
报	報
拟	擬
芜	蕪
苇	葦
苍	蒼
严	嚴
芦	蘆
劳	勞
克	克
克	剋
苏	蘇
苏	囌
极	極
杨	楊
两	兩
丽	麗
医	醫
励	勵
还	還
歼	殲
来	來
连	連
轩	軒
卤	滷
卤	鹵
坚	堅
时	時
县	縣
里	里
里	裏
呕	嘔
园	園
旷	曠
围	圍
吨	噸
邮	郵
困	困
困	睏
员	員
听	聽
呛	嗆
呜	嗚
别	別
别	彆
岖	嶇
岗	崗
帐	帳
财	財
针	針
钉	釘
乱	亂
体	體
佣	傭
彻	徹
余	餘
余	余
谷	穀
谷	谷
邻	鄰
肠	腸
龟	龜
犹	猶
狈	狽
条	條
岛	島
饭	飯
饮	飲
系	係
系	系
系	繫
冻	凍
状	狀
亩	畝
库	庫
疗	療
应	應
这	這
庐	廬
闰	閏
间	間
闷	悶
灶	竈
灿	燦
沥	瀝
沦	淪
沧	滄
沟	溝
沪	滬
沈	沈
沈	瀋
怀	懷
忧	憂
穷	窮
证	證
启	啓
评	評
补	補
识	識
诈	詐
诉	訴
诊	診
词	詞
译	譯
灵	靈
层	層
迟	遲
张	張
际	際
陆	陸
陈	陳
坠	墜
劲	勁
鸡	雞
纬	緯
驱	驅
纯	純
纱	紗
纲	綱
纳	納
驳	駁
纵	縱
纷	紛
纸	紙
纹	紋
纺	紡
驴	驢
纽	紐
环	環
责	責
现	現
表	表
表	錶
规	規
拢	攏
拣	揀
担	擔
顶	頂
拥	擁
势	勢
拦	攔
拧	擰
拨	撥
择	擇
苹	蘋
范	范
范	範
茎	莖
枢	樞
柜	櫃
板	板
板	闆
松	松
松	鬆
枪	槍
枫	楓
构	構
丧	喪
画	畫
枣	棗
卖	賣
郁	郁
郁	鬱
矾	礬
矿	礦
码	碼
厕	厠
奋	奮
态	態
欧	歐
殴	毆
垄	壟
轰	轟
顷	頃
转	轉
斩	斬
轮	輪
软	軟
齿	齒
虏	虜
肾	腎
贤	賢
国	國
畅	暢
咙	嚨
鸣	鳴
罗	羅
帜	幟
岭	嶺
凯	凱
败	敗
账	賬
贩	販
贬	貶
购	購
贮	貯
图	圖
钓	釣
制	制
制	製
刮	刮
刮	颳
侠	俠
侥	僥
侦	偵
侧	側
凭	憑
侨	僑
货	貨
质	質
征	徵
征	征
径	徑
舍	舍
舍	捨
觅	覓
贪	貪
贫	貧
肤	膚
肿	腫
胀	脹
肮	骯
胁	脅
鱼	魚
狞	獰
备	備
饰	飾
饱	飽
饲	飼
变	變
庞	龐
庙	廟
疟	瘧
剂	劑
废	廢
闸	閘
闹	鬧
郑	鄭
卷	卷
卷	捲
单	單
炉	爐
浅	淺
泞	濘
泻	瀉
注	注 註
泼	潑
泽	澤
怜	憐
学	學
宝	寶
宠	寵
审	審
帘	簾
帘	帘
实	實
试	試
诗	詩
诚	誠
衬	襯
视	視
话	話
诞	誕
诡	詭
询	詢
该	該
详	詳
肃	肅
录	錄
隶	隸
弥	彌
弥	瀰
陕	陝
驾	駕
参	參
艰	艱
线	綫
练	練
组	組
绅	紳
细	細
驶	駛
织	織
驹	駒
终	終
驻	駐
绊	絆
驼	駝
绍	紹
绎	繹
经	經
贯	貫
贰	貳
帮	幫
项	項
挟	挾
挠	撓
赵	趙
挡	擋
垫	墊
挤	擠
挥	揮
荐	薦
带	帶
茧	繭
荡	蕩
荣	榮
荤	葷
荧	熒
胡	胡
胡	鬍
荫	蔭
药	藥
标	標
栈	棧
栋	棟
栏	欄
柠	檸
树	樹
咸	咸
咸	鹹
砖	磚
砚	硯
面	面
面	麵
牵	牽
鸥	鷗
残	殘
轴	軸
轻	輕
鸦	鴉
战	戰
点	點
临	臨
览	覽
竖	竪
尝	嘗
哑	啞
显	顯
贵	貴
虾	蝦
蚁	蟻
蚂	螞
虽	雖
骂	駡
勋	勛
哗	嘩
响	響
哟	喲
峡	峽
罚	罰
贱	賤
贴	貼
贻	貽
钙	鈣
钝	鈍
钞	鈔
钟	鍾
钟	鐘
钢	鋼
钠	鈉
钥	鑰
钦	欽
钧	鈞
钩	鈎
钮	鈕
毡	氈
氢	氫
选	選
适	適
种	种
种	種
秋	秋
秋	鞦
复	復
复	複
俩	倆
贷	貸
顺	順
俭	儉
须	須
须	鬚
剑	劍
胧	朧
胆	膽
胜	勝
狭	狹
狮	獅
独	獨
狱	獄
贸	貿
饵	餌
饶	饒
蚀	蝕
饺	餃
饼	餅
峦	巒
弯	彎
将	將
奖	獎
疮	瘡
疯	瘋
亲	親
闺	閨
闻	聞
闽	閩
阀	閥
阁	閣
养	養
姜	姜
姜	薑
类	類
娄	婁
总	總
炼	煉
烁	爍
烂	爛
洼	窪
洁	潔
洒	灑
浇	澆
浊	濁
测	測
浏	瀏
济	濟
浑	渾
浓	濃
恼	惱
举	舉
觉	覺
宪	憲
窃	竊
诫	誡
